uuid,brand,brand_slug,name,address,province,city,district,lat,lng,store_location_type,match_method,match_confidence,match_score,candidate_malls,top1_mall_id,top1_distance_m
475d85bd-2299-4b9f-8f1b-1e150a1e3d63,Louis Vuitton,louis-vuitton,路易威登 上海国金中心店,"浦东新区世纪大道8号, 上海市 200120, 上海, 中国",上海市 200120,上海,虹口区,31.242,121.509,mall_store_no_match,no_candidate_but_has_hint,,,"[{""mall_id"": ""MALL_00672"", ""mall_name"": ""\u4e0a\u6d77\u7b2c\u4e00\u516b\u4f70\u4f34"", ""mall_city"": ""\u4e0a\u6d77"", ""mall_province"": ""\u672a\u77e5\u7701\u4efd"", ""distance_m"": 1709.0, ""city_matched"": true}, {""mall_id"": ""MALL_00807"", ""mall_name"": ""\u5b8f\u4f0a\u56fd\u9645\u5e7f\u573a(\u5357\u4eac\u4e1c\u8def)"", ""mall_city"": ""\u4e0a\u6d77"", ""mall_province"": ""\u672a\u77e5\u7701\u4efd"", ""distance_m"": 2393.5, ""city_matched"": true}, {""mall_id"": ""MALL_00800"", ""mall_name"": ""\u6052\u57fa\u540d\u4eba\u8d2d\u7269\u4e2d\u5fc3"", ""mall_city"": ""\u4e0a\u6d77"", ""mall_province"": ""\u672a\u77e5\u7701\u4efd"", ""distance_m"": 2412.4, ""city_matched"": true}, {""mall_id"": ""MALL_00799"", ""mall_name"": ""\u4e0a\u6d77\u4e16\u8302\u5e7f\u573a"", ""mall_city"": ""\u4e0a\u6d77"", ""mall_province"": ""\u672a\u77e5\u7701\u4efd"", ""distance_m"": 3275.1, ""city_matched"": true}, {""mall_id"": ""MALL_00806"", ""mall_name"": ""\u65b0\u4e16\u754c\u57ce"", ""mall_city"": ""\u4e0a\u6d77"", ""mall_province"": ""\u672a\u77e5\u7701\u4efd"", ""distance_m"": 3445.0, ""city_matched"": true}]",MALL_00672,1709.0
37418c25-4f3c-4357-a6ba-1f43b67f2ce7,Louis Vuitton,louis-vuitton,路易威登 上海前滩太古里店,"浦东新区东育路500弄1-9号, 上海市 200126, 上海, 中国",上海市 200126,上海,徐汇区,31.159,121.489,mall_store_no_match,no_candidate_but_has_hint,,,"[{""mall_id"": ""MALL_00802"", ""mall_name"": ""\u6676\u8000\u524d\u6ee9Crystal Plaza"", ""mall_city"": ""\u4e0a\u6d77"", ""mall_province"": ""\u672a\u77e5\u7701\u4efd"", ""distance_m"": 1353.4, ""city_matched"": true}, {""mall_id"": ""MALL_00805"", ""mall_name"": ""Gate M\u897f\u5cb8\u68a6\u4e2d\u5fc3"", ""mall_city"": ""\u4e0a\u6d77"", ""mall_province"": ""\u672a\u77e5\u7701\u4efd"", ""distance_m"": 2252.6, ""city_matched"": true}, {""mall_id"": ""MALL_00808"", ""mall_name"": ""\u590d\u5730\u6d3b\u529b\u57ce"", ""mall_city"": ""\u4e0a\u6d77"", ""mall_province"": ""\u672a\u77e5\u7701\u4efd"", ""distance_m"": 7206.6, ""city_matched"": true}, {""mall_id"": ""MALL_00796"", ""mall_name"": ""\u4e0a\u6d77k11\u8d2d\u7269\u827a\u672f\u4e2d\u5fc3"", ""mall_city"": ""\u4e0a\u6d77"", ""mall_province"": ""\u672a\u77e5\u7701\u4efd"", ""distance_m"": 7313.2, ""city_matched"": true}, {""mall_id"": ""MALL_00801"", ""mall_name"": ""\u5927\u4e0a\u6d77\u65f6\u4ee3\u5e7f\u573a"", ""mall_city"": ""\u4e0a\u6d77"", ""mall_province"": ""\u672a\u77e5\u7701\u4efd"", ""distance_m"": 7351.5, ""city_matched"": true}]",MALL_00802,1353.4
9150fcf8-2726-49de-914f-5c3844ecd651,Louis Vuitton,louis-vuitton,路易威登 长沙国金中心店,"芙蓉区解放西路270号东牌楼路, 湖南省 410000, 长沙, 中国",湖南省 410000,长沙,芙蓉区,28.198,112.987,mall_store_no_match,no_candidate_but_has_hint,,,"[{""mall_id"": ""MALL_00814"", ""mall_name"": ""\u957f\u6c99\u661f\u6c99\u4e07\u8c61\u6c47"", ""mall_city"": ""\u957f\u6c99"", ""mall_province"": ""\u672a\u77e5\u7701\u4efd"", ""distance_m"": 11304.7, ""city_matched"": true}]",MALL_00814,11304.7
3c5e27ce-f9ea-493d-98b0-3f0793f05dd5,Louis Vuitton,louis-vuitton,路易威登 北京王府井店,"东城区王府井金鱼胡同8号, 北京市 100006, 北京, 中国",北京市 100006,北京,东城区,39.921,116.423,mall_store_no_match,no_candidate_but_has_hint,,,"[{""mall_id"": ""MALL_00658"", ""mall_name"": ""\u5317\u4eac\u4e1c\u65b9\u65b0\u5929\u5730"", ""mall_city"": ""\u5317\u4eac"", ""mall_province"": ""\u672a\u77e5\u7701\u4efd"", ""distance_m"": 1472.6, ""city_matched"": true}, {""mall_id"": ""MALL_00857"", ""mall_name"": ""\u4e16\u8d38\u5929\u9636"", ""mall_city"": ""\u5317\u4eac"", ""mall_province"": ""\u672a\u77e5\u7701\u4efd"", ""distance_m"": 2524.9, ""city_matched"": true}, {""mall_id"": ""MALL_00659"", ""mall_name"": ""\u9890\u5824\u6e2f"", ""mall_city"": ""\u5317\u4eac"", ""mall_province"": ""\u672a\u77e5\u7701\u4efd"", ""distance_m"": 7955.2, ""city_matched"": true}, {""mall_id"": ""MALL_00858"", ""mall_name"": ""\u5317\u4eac\u4e2d\u5173\u6751\u9886\u5c55\u5e7f\u573a"", ""mall_city"": ""\u5317\u4eac"", ""mall_province"": ""\u672a\u77e5\u7701\u4efd"", ""distance_m"": 11311.0, ""city_matched"": true}, {""mall_id"": ""MALL_00660"", ""mall_name"": ""\u534e\u7199LIVE\u00b7\u4e94\u68f5\u677e"", ""mall_city"": ""\u5317\u4eac"", ""mall_province"": ""\u672a\u77e5\u7701\u4efd"", ""distance_m"": 12286.8, ""city_matched"": true}]",MALL_00658,1472.6
5ffb4a5a-9ad8-4a38-9853-22669572816f,Longchamp,longchamp,昆明恒隆精品店,云南省昆明市盘龙区东风东路21号昆明恒隆广场商场L1层L101B铺位,昆明市,昆明市,五华区,25.036434,102.722668,mall_store_no_match,no_candidate_but_has_hint,,,"[{""mall_id"": ""MALL_00194"", ""mall_name"": ""\u6606\u660e\u6052\u9686\u5e7f\u573a"", ""mall_city"": ""\u6606\u660e\u5e02"", ""mall_province"": ""\u4e91\u5357\u7701"", ""distance_m"": 189.8, ""city_matched"": true}, {""mall_id"": ""MALL_00428"", ""mall_name"": ""\u6606\u660e\u4e07\u8c61\u57ce"", ""mall_city"": ""\u6606\u660e\u5e02"", ""mall_province"": ""\u4e91\u5357\u7701"", ""distance_m"": 1379.6, ""city_matched"": true}, {""mall_id"": ""MALL_00367"", ""mall_name"": ""\u987a\u57ce\u8d2d\u7269\u4e2d\u5fc3"", ""mall_city"": ""\u6606\u660e\u5e02"", ""mall_province"": ""\u4e91\u5357\u7701"", ""distance_m"": 1534.8, ""city_matched"": true}, {""mall_id"": ""MALL_00088"", ""mall_name"": ""\u597d\u60a6\u5929\u5730"", ""mall_city"": ""\u6606\u660e\u5e02"", ""mall_province"": ""\u4e91\u5357\u7701"", ""distance_m"": 1840.4, ""city_matched"": true}, {""mall_id"": ""MALL_00322"", ""mall_name"": ""\u4e07\u8fbe\u5e7f\u573a(\u6606\u660e\u897f\u5c71\u5e97)"", ""mall_city"": ""\u6606\u660e\u5e02"", ""mall_province"": ""\u4e91\u5357\u7701"", ""distance_m"": 3432.4, ""city_matched"": true}]",MALL_00194,189.8
46b65554-00ed-4aa9-b835-f5b36c7ea537,Hugo Boss,hugo-boss,BOSS呼和浩特如意小镇,内蒙古自治区呼和浩特市新城区迎新路街道水岸时光街,内蒙古自治区,呼和浩特市,赛罕区,40.846195,111.751027,mall_store_no_match,no_candidate_but_has_hint,,,"[{""mall_id"": ""MALL_00204"", ""mall_name"": ""\u7ef4\u591a\u5229\u6469\u5c14\u57ceA\u5ea7"", ""mall_city"": ""\u547c\u548c\u6d69\u7279\u5e02"", ""mall_province"": ""\u5185\u8499\u53e4\u81ea\u6cbb\u533a"", ""distance_m"": 3874.7, ""city_matched"": true}, {""mall_id"": ""MALL_00203"", ""mall_name"": ""\u632f\u534e\u5e7f\u573a"", ""mall_city"": ""\u547c\u548c\u6d69\u7279\u5e02"", ""mall_province"": ""\u5185\u8499\u53e4\u81ea\u6cbb\u533a"", ""distance_m"": 7668.2, ""city_matched"": true}, {""mall_id"": ""MALL_00511"", ""mall_name"": ""\u547c\u548c\u6d69\u7279\u4e07\u8c61\u57ce"", ""mall_city"": ""\u547c\u548c\u6d69\u7279\u5e02"", ""mall_province"": ""\u5185\u8499\u53e4\u81ea\u6cbb\u533a"", ""distance_m"": 7905.3, ""city_matched"": true}, {""mall_id"": ""MALL_00340"", ""mall_name"": ""\u51ef\u5fb7\u5e7f\u573a"", ""mall_city"": ""\u547c\u548c\u6d69\u7279\u5e02"", ""mall_province"": ""\u5185\u8499\u53e4\u81ea\u6cbb\u533a"", ""distance_m"": 8180.8, ""city_matched"": true}]",MALL_00204,3874.7
dee2a8a0-a1c8-47ee-bc10-78b033bd16f1,Hugo Boss,hugo-boss,BOSS哈尔滨杉杉奥特莱斯,黑龙江省哈尔滨市呼兰区南京路街道杉杉有涧民宿(江北大学城杉杉奥莱店),黑龙江省,哈尔滨市,呼兰区,45.878345,126.56471,mall_store_no_match,no_candidate_but_has_hint,,,"[{""mall_id"": ""MALL_00193"", ""mall_name"": ""\u54c8\u5c14\u6ee8\u677e\u5317\u4e07\u8c61\u6c47"", ""mall_city"": ""\u54c8\u5c14\u6ee8\u5e02"", ""mall_province"": ""\u9ed1\u9f99\u6c5f\u7701"", ""distance_m"": 7911.8, ""city_matched"": true}, {""mall_id"": ""MALL_00853"", ""mall_name"": ""\u91d1\u5b89\u56fd\u9645\u8d2d\u7269\u5e7f\u573a"", ""mall_city"": ""\u54c8\u5c14\u6ee8\u5e02"", ""mall_province"": ""\u9ed1\u9f99\u6c5f\u7701"", ""distance_m"": 12607.5, ""city_matched"": true}, {""mall_id"": ""MALL_00073"", ""mall_name"": ""\u5353\u5c55\u8d2d\u7269\u4e2d\u5fc3B\u5ea7"", ""mall_city"": ""\u54c8\u5c14\u6ee8\u5e02"", ""mall_province"": ""\u9ed1\u9f99\u6c5f\u7701"", ""distance_m"": 13560.1, ""city_matched"": true}, {""mall_id"": ""MALL_00645"", ""mall_name"": ""\u8239\u8236\u7535\u5b50\u5927\u4e16\u754c"", ""mall_city"": ""\u54c8\u5c14\u6ee8\u5e02"", ""mall_province"": ""\u9ed1\u9f99\u6c5f\u7701"", ""distance_m"": 13856.8, ""city_matched"": true}, {""mall_id"": ""MALL_00459"", ""mall_name"": ""\u8fdc\u5927\u8d2d\u7269\u4e2d\u5fc3(\u5357\u5c97\u5e97)"", ""mall_city"": ""\u54c8\u5c14\u6ee8\u5e02"", ""mall_province"": ""\u9ed1\u9f99\u6c5f\u7701"", ""distance_m"": 14458.4, ""city_matched"": true}]",MALL_00193,7911.8
1540df0c-1b72-4ab2-974d-9fbb89da7524,Hugo Boss,hugo-boss,BOSS 南京建邺金鹰购物中心,江苏省南京市建邺区应天大街888号，河西金鹰一楼,江苏省,南京市,建邺区,32.021801,118.745362,mall_store_no_match,no_candidate_but_has_hint,,,"[{""mall_id"": ""MALL_00268"", ""mall_name"": ""\u543e\u60a6\u5e7f\u573a(\u5357\u4eac\u5efa\u90ba\u5e97)"", ""mall_city"": ""\u5357\u4eac\u5e02"", ""mall_province"": ""\u6c5f\u82cf\u7701"", ""distance_m"": 1975.4, ""city_matched"": true}, {""mall_id"": ""MALL_00423"", ""mall_name"": ""\u5357\u4eac\u56fd\u91d1\u4e2d\u5fc3"", ""mall_city"": ""\u5357\u4eac\u5e02"", ""mall_province"": ""\u6c5f\u82cf\u7701"", ""distance_m"": 3821.8, ""city_matched"": true}, {""mall_id"": ""MALL_00683"", ""mall_name"": ""\u91d1\u9e70\u56fd\u9645\u5e7f\u573a(\u65b0\u8857\u53e3\u5e97)"", ""mall_city"": ""\u5357\u4eac\u5e02"", ""mall_province"": ""\u6c5f\u82cf\u7701"", ""distance_m"": 3909.6, ""city_matched"": true}, {""mall_id"": ""MALL_00497"", ""mall_name"": ""\u5fb7\u57fa\u5e7f\u573a\u4e8c\u671f"", ""mall_city"": ""\u5357\u4eac\u5e02"", ""mall_province"": ""\u6c5f\u82cf\u7701"", ""distance_m"": 4509.2, ""city_matched"": true}, {""mall_id"": ""MALL_00554"", ""mall_name"": ""\u5357\u4eac\u91d1\u9675\u5929\u5730"", ""mall_city"": ""\u5357\u4eac\u5e02"", ""mall_province"": ""\u6c5f\u82cf\u7701"", ""distance_m"": 5978.5, ""city_matched"": true}]",MALL_00268,1975.4
0066d2a7-f1a3-4a5a-8da8-034184c1b1c9,Hugo Boss,hugo-boss,BOSS苏州中心,江苏省苏州市吴中区金鸡湖街道芙蓉街金鸡湖景区,江苏省,苏州市,相城区,31.314549,120.682213,mall_store_no_match,,,,"[{""mall_id"": ""MALL_00265"", ""mall_name"": ""\u82cf\u5dde\u4e2d\u5fc3\u5546\u573a\u4e8c\u671f"", ""mall_city"": ""\u82cf\u5dde\u5e02"", ""mall_province"": ""\u6c5f\u82cf\u7701"", ""distance_m"": 290.6, ""city_matched"": true}, {""mall_id"": ""MALL_00383"", ""mall_name"": ""\u9f99\u6e56\u82cf\u5dde\u76f8\u57ce\u5929\u8857A\u9986"", ""mall_city"": ""\u82cf\u5dde\u5e02"", ""mall_province"": ""\u6c5f\u82cf\u7701"", ""distance_m"": 7565.5, ""city_matched"": true}, {""mall_id"": ""MALL_00836"", ""mall_name"": ""\u661f\u6593\u835f"", ""mall_city"": ""\u82cf\u5dde\u5e02"", ""mall_province"": ""\u6c5f\u82cf\u7701"", ""distance_m"": 8018.6, ""city_matched"": true}, {""mall_id"": ""MALL_00062"", ""mall_name"": ""\u82cf\u5dde\u5927\u60a6\u57ce"", ""mall_city"": ""\u82cf\u5dde\u5e02"", ""mall_province"": ""\u6c5f\u82cf\u7701"", ""distance_m"": 12055.9, ""city_matched"": true}, {""mall_id"": ""MALL_00328"", ""mall_name"": ""\u9f99\u6e56\u00b7\u82cf\u5dde\u72ee\u5c71\u5929\u8857"", ""mall_city"": ""\u82cf\u5dde\u5e02"", ""mall_province"": ""\u6c5f\u82cf\u7701"", ""distance_m"": 12186.2, ""city_matched"": true}]",MALL_00265,290.6
ecd2f653-1ca9-4bc7-998c-6d05e35d01dd,Givenchy,givenchy,BJS,北京市朝阳区三里屯路11号三里屯太古里北区N3-10,北京市,北京城区,朝阳区,39.944497,116.461564,mall_store_no_match,no_candidate_but_has_hint,,,"[{""mall_id"": ""MALL_00534"", ""mall_name"": ""\u4e09\u91cc\u5c6f\u592a\u53e4\u91cc"", ""mall_city"": ""\u5317\u4eac\u5e02"", ""mall_province"": ""\u5317\u4eac\u5e02"", ""distance_m"": 1250.1, ""city_matched"": false}, {""mall_id"": ""MALL_00363"", ""mall_name"": ""\u5317\u4eac\u4fa8\u798f\u82b3\u8349\u5730\u8d2d\u7269\u4e2d\u5fc3"", ""mall_city"": ""\u5317\u4eac\u5e02"", ""mall_province"": ""\u5317\u4eac\u5e02"", ""distance_m"": 2976.0, ""city_matched"": false}, {""mall_id"": ""MALL_00857"", ""mall_name"": ""\u4e16\u8d38\u5929\u9636"", ""mall_city"": ""\u5317\u4eac"", ""mall_province"": ""\u672a\u77e5\u7701\u4efd"", ""distance_m"": 3218.7, ""city_matched"": false}, {""mall_id"": ""MALL_00100"", ""mall_name"": ""\u56fd\u8d38\u5546\u57ce"", ""mall_city"": ""\u5317\u4eac\u5e02"", ""mall_province"": ""\u5317\u4eac\u5e02"", ""distance_m"": 3742.9, ""city_matched"": false}, {""mall_id"": ""MALL_00659"", ""mall_name"": ""\u9890\u5824\u6e2f"", ""mall_city"": ""\u5317\u4eac"", ""mall_province"": ""\u672a\u77e5\u7701\u4efd"", ""distance_m"": 3782.4, ""city_matched"": false}]",MALL_00534,1250.1
f8addf84-11f0-45dd-8344-e8bbbee40472,Kenzo,kenzo,KENZO Beijing China World,"Shop L213, Level Two, China World Shopping Mall, No.1 Jian Guo Men Wai Avenue, Chao Yang District, 100004, BEIJING",北京市,BEIJING,朝阳区,39.916584,116.471548,mall_store_no_match,no_candidate_but_has_hint,,,"[{""mall_id"": ""MALL_00335"", ""mall_name"": ""\u5317\u4eac skp"", ""mall_city"": ""\u5317\u4eac\u5e02"", ""mall_province"": ""\u5317\u4eac\u5e02"", ""distance_m"": 662.7, ""city_matched"": false}, {""mall_id"": ""MALL_00115"", ""mall_name"": ""\u534e\u8d38\u8d2d\u7269\u4e2d\u5fc3"", ""mall_city"": ""\u5317\u4eac\u5e02"", ""mall_province"": ""\u5317\u4eac\u5e02"", ""distance_m"": 1149.9, ""city_matched"": false}, {""mall_id"": ""MALL_00100"", ""mall_name"": ""\u56fd\u8d38\u5546\u57ce"", ""mall_city"": ""\u5317\u4eac\u5e02"", ""mall_province"": ""\u5317\u4eac\u5e02"", ""distance_m"": 1222.8, ""city_matched"": false}, {""mall_id"": ""MALL_00857"", ""mall_name"": ""\u4e16\u8d38\u5929\u9636"", ""mall_city"": ""\u5317\u4eac"", ""mall_province"": ""\u672a\u77e5\u7701\u4efd"", ""distance_m"": 1665.7, ""city_matched"": false}, {""mall_id"": ""MALL_00363"", ""mall_name"": ""\u5317\u4eac\u4fa8\u798f\u82b3\u8349\u5730\u8d2d\u7269\u4e2d\u5fc3"", ""mall_city"": ""\u5317\u4eac\u5e02"", ""mall_province"": ""\u5317\u4eac\u5e02"", ""distance_m"": 1965.5, ""city_matched"": false}]",MALL_00335,662.7
f28b9855-345c-453b-9b23-42d78effe8c4,Kenzo,kenzo,KENZO Xian - Sasseur Outlet Pop Up,"Xi'an District, Shaanxi Province, China, 710024, Xi'an",陕西省,Xi'an,灞桥区,34.349181,109.057105,mall_store_no_match,no_candidate_but_has_hint,,,"[{""mall_id"": ""MALL_00256"", ""mall_name"": ""\u897f\u5b89\u534e\u9633\u57ce\u8d2d\u7269\u4e2d\u5fc3"", ""mall_city"": ""\u897f\u5b89\u5e02"", ""mall_province"": ""\u9655\u897f\u7701"", ""distance_m"": 7852.0, ""city_matched"": false}, {""mall_id"": ""MALL_00632"", ""mall_name"": ""\u897f\u5b89\u9f99\u6e56\u957f\u4e50\u5929\u8857"", ""mall_city"": ""\u897f\u5b89\u5e02"", ""mall_province"": ""\u9655\u897f\u7701"", ""distance_m"": 8449.6, ""city_matched"": false}, {""mall_id"": ""MALL_00163"", ""mall_name"": ""\u4e07\u8fbe\u5e7f\u573a(\u897f\u5b89\u5927\u660e\u5bab\u5e97)"", ""mall_city"": ""\u897f\u5b89\u5e02"", ""mall_province"": ""\u9655\u897f\u7701"", ""distance_m"": 8606.4, ""city_matched"": false}, {""mall_id"": ""MALL_00359"", ""mall_name"": ""\u9f99\u6e56\u897f\u5b89\u9999\u918d\u5929\u8857"", ""mall_city"": ""\u897f\u5b89\u5e02"", ""mall_province"": ""\u9655\u897f\u7701"", ""distance_m"": 9813.4, ""city_matched"": false}, {""mall_id"": ""MALL_00453"", ""mall_name"": ""\u897f\u5b89\u5927\u878d\u57ce"", ""mall_city"": ""\u897f\u5b89\u5e02"", ""mall_province"": ""\u9655\u897f\u7701"", ""distance_m"": 10023.3, ""city_matched"": false}]",MALL_00256,7852.0
