mall_code,name,city_name,district_name,lat,lng,amap_poi_id
MALL_70CD3D06,东方商厦,上海城区,青浦区,31.148355,121.11226,B00155E6BX
MALL_557F95FC,鑫港购物中心,保山市,施甸县,24.830903,99.020813,B0I6PHACPI
MALL_F99778DB,宝峰商场,保山市,腾冲市,25.047724,98.479678,B0FFLG6R3M
MALL_7351C84F,蒲缥玛兰林集贸广场,保山市,隆阳区,25.012449,99.013257,B0KRNCPITX
MALL_6C1688D0,世贸广场,德宏傣族景颇族自治州,芒市,24.397743,98.559663,B0LA5CU8UP
MALL_F9974D1B,砂之船(昆明)奥莱,昆明市,安宁市,24.917447,102.575755,B0FFKI6WJ2
MALL_C75E747A,茂盛购物中心,昭通市,镇雄县,27.461707,105.21834,B0JGU1AA7N
MALL_DDB0D461,惠美家购物中心,普洱市,镇沅彝族哈尼族拉祜族自治县,23.931265,101.427414,B0JDMA603S
MALL_B9339BB5,新世纪购物中心,普洱市,镇沅彝族哈尼族拉祜族自治县,23.931792,101.428953,B0H33XZ0L3
MALL_648B9AC1,海岱供销购物广场,曲靖市,宣威市,26.071023,104.346042,B0FFFRY0GM
MALL_284D6E35,金尚广场,曲靖市,宣威市,26.221905,104.096835,B0FFM8V3TS
MALL_7DC8048F,温宁巨弘商业广场,乌兰察布市,商都县,41.556275,113.527346,B0G17RYZR3
MALL_551DE79B,乌兰察布万达广场,乌兰察布市,集宁区,40.998374,113.155829,B0FFL1HRUZ
MALL_38D457C7,东站商厦,包头市,东河区,40.571405,110.027185,B0FFHDY28X
MALL_797602E6,劝业商城,包头市,东河区,40.58612,110.022711,B0FFG9WTZB
MALL_AAF8B39C,时代财富地下商业城,包头市,青山区,40.671307,109.881888,B01D80P1YZ
MALL_B723E4F1,海成源商贸城,呼和浩特市,托克托县,40.19809,111.349195,B0FFFRXIGF
MALL_FD5EACA9,九州商厦(昭乌达路),呼和浩特市,新城区,40.821066,111.691323,B01D7009D0
MALL_709CCEDF,鼎隆时代大卖场,巴彦淖尔市,乌拉特前旗,40.947759,108.637146,B0HU4PHRAA
MALL_9981CD7A,松山万达广场,赤峰市,松山区,42.294414,118.915811,B0FFLIUATX
MALL_BDBFCFE9,金霄购物广场,赤峰市,翁牛特旗,42.607798,118.909466,B0JR7OKA33
MALL_7E9DF7E2,开鲁县开源商业城,通辽市,开鲁县,43.600369,121.308369,B01DB00LTH
MALL_C1024046,新世纪超市,通辽市,科尔沁左翼中旗,44.350841,122.886228,B0LU2CRXRZ
MALL_FEE6D1EE,龙升商场,通辽市,科尔沁左翼中旗,44.022223,122.748298,B0FFFGPB5L
MALL_1B0AFE2B,会平商场,通辽市,科尔沁左翼后旗,43.382456,123.573534,B01DB0MYMN
MALL_4FFF012A,德克隆购物中心,锡林郭勒盟,锡林浩特市,43.943465,116.079991,B0FFGKXQW4
MALL_A9B9E1CC,北京华联购物中心,北京城区,平谷区,40.146642,117.094184,B0FFGB3GXI
MALL_68866EC6,延庆人民商场,北京城区,延庆区,40.458957,115.975007,B000A42A85
MALL_73F9F462,东市商场B座,吉林市,昌邑区,43.850992,126.568945,B01B0027DK
MALL_3C373DFA,欧亚购物中心,四平市,双辽市,43.521222,123.504176,B0FFHRUWUX
MALL_1B250EF6,万达广场,延边朝鲜族自治州,延吉市,42.901108,129.458004,B0FFG26BJ2
MALL_30D80FB5,东镇城市广场,松原市,宁江区,45.171351,124.842564,B01B60MSHV
MALL_3C4FC9F1,有源商场,松原市,长岭县,44.152723,123.541564,B0J3MD6LW4
MALL_878F1EF8,世纪商业城,白城市,通榆县,44.806079,123.083445,B01B400DCB
MALL_56525117,众旺商场,白山市,抚松县,42.352586,127.54018,B01B70MA7B
MALL_E9808451,淑琴商场,通化市,集安市,41.500581,125.883526,B0JDF5X35P
MALL_A792C45D,华生购物中心,长春市,公主岭市,43.483659,124.805516,B0FFGREFGQ
MALL_C2BDA0D8,农安隆达·金马城市广场,长春市,农安县,44.420114,125.146316,B0FFFFE564
MALL_57B5C360,天力·一品地下购物广场,长春市,双阳区,43.522674,125.662457,B01AF0ZZHT
MALL_5E986FC7,东北亚商城,长春市,榆树市,44.868129,126.896279,B0FFG46Q11
MALL_AB88A1F2,世达·黄联关商业中心,凉山彝族自治州,西昌市,27.677876,102.19574,B0LAHUE8AM
MALL_0102D083,中意生活广场,凉山彝族自治州,西昌市,27.870895,102.255639,B03420OUSJ
MALL_DF041DA1,经久生活广场商业中心(建设中),凉山彝族自治州,西昌市,27.773803,102.201201,B0JAFUIMB0
MALL_D38A829B,新世纪超市,南充市,仪陇县,31.5033,106.463966,B0HDAOZFOT
MALL_F6697392,充国里B广场,南充市,西充县,30.978485,105.905727,B0LARLDRDF
MALL_D6179C89,熊猫大世界,南充市,阆中市,31.540538,106.008554,B0FFJILP0M
MALL_65169ABE,一站式购物中心,宜宾市,兴文县,28.143544,104.966591,B0ID4ZO2NX
MALL_94A940EA,王府井购物中心(建设中),宜宾市,翠屏区,28.762465,104.669187,B0KKLRL84M
MALL_877C7D55,壹陆捌购物中心,巴中市,巴州区,31.852814,106.965056,B0FFLD4H0I
MALL_CEFD3E17,开平购物中心,巴中市,平昌县,31.757871,107.392961,B0HKLLWH7X
MALL_4973A740,金悦汇.购物中心,广元市,利州区,32.434462,105.822397,B0LBGHEKFT
MALL_DA167E44,岳池万达广场(建设中),广安市,岳池县,30.523969,106.478425,B0KDVZROC5
MALL_131231AF,米兰生活广场,成都市,简阳市,30.447551,104.377943,B0FFKG5CY7
MALL_2F1F743B,湖山生活汇,眉山市,仁寿县,30.162846,104.060681,B0JADZAEX3
MALL_1720DFCE,兴马泰购物中心,绵阳市,三台县,31.211301,104.982667,B0G3RMBSNI
MALL_2300401A,毅德商贸城,绵阳市,涪城区,31.441064,104.722351,B03300PKJV
MALL_FAA5068F,科学城生活集市,绵阳市,游仙区,31.504911,104.752218,B0HUBZD7KD
MALL_D78B68A9,爱客购物中心,绵阳市,盐亭县,31.201868,105.402702,B0GKHC1MJU
MALL_246BCE57,金源商场(解放下街),遂宁市,射洪市,30.868185,105.386279,B03390N04S
MALL_444D72E0,健坤国际百货广场,遂宁市,船山区,30.460824,105.559888,B0FFFS02CI
MALL_0566BFD4,大港油田幸福广场,天津城区,滨海新区,38.719465,117.490325,B001615217
MALL_8A4AE7A0,静海商场(东方红路),天津城区,静海区,38.931878,116.92679,B001615594
MALL_354AADB3,百隆商厦,中卫市,中宁县,37.48863,105.674888,B07A100609
MALL_CCDB65C0,海原县贾唐西海商城,中卫市,海原县,36.50295,105.849613,B07A10MJHK
MALL_D89FECB3,井泉购物中心,固原市,西吉县,35.712185,105.811272,B0GUC9F06Y
MALL_C12EC19E,江山阅恒太城,银川市,永宁县,38.39439,106.260694,B0J0JSGB9X
MALL_77B4D9FB,购物中心,亳州市,利辛县,33.314856,116.00511,B0KK7BO9EQ
MALL_5991D654,桥头购物中心,六安市,金寨县,31.757598,116.025917,B0HBKKNMBV
MALL_3358A6FC,新世纪超市,安庆市,望江县,30.14783,116.742332,B0HBXGNRE2
MALL_383F3504,洁菲广场,宣城市,宣州区,30.936361,118.771167,B0K31ZRP5V
MALL_ADAE70EA,国购广场,宣城市,郎溪县,31.136671,119.194728,B0FFFT4HVH
MALL_FD39FF64,崔楼百顺购物中心,宿州市,灵璧县,33.998893,117.630253,B0HKMZ98PC
MALL_AE34C914,福万家购物中心,宿州市,灵璧县,33.639525,117.566725,B0IR3KJDCO
MALL_CB4580BB,鸿图生活购物中心,宿州市,灵璧县,33.44948,117.629771,B0I1F7O02W
MALL_4162024C,二科购物中心,宿州市,砀山县,34.502155,116.570082,B0HUB9F5L1
MALL_295AD001,萧县国购广场,宿州市,萧县,34.180558,116.949409,B0FFIJVC9G
MALL_6A1C072D,驿缘商品购物中心,池州市,青阳县,30.571082,117.787494,B0KUKUI29K
MALL_F16D9F5D,新风生活广场,淮北市,烈山区,33.814402,116.828288,B0K6ZZVLO2
MALL_4A6807F3,凤台县花家湖商城,淮南市,凤台县,32.689896,116.595238,B0IUU1ASIZ
MALL_D6A80082,家佳购物中心,淮南市,潘集区,32.813214,116.904342,B0FFG4WEUP
MALL_46E7E7BC,中暖新世界广场,淮南市,田家庵区,32.640965,117.013876,B0FFFOQQE8
MALL_43CCD1BA,固镇玉园·南城商业中心,蚌埠市,固镇县,33.288578,117.297276,B0LBCM8DV4
MALL_1B05C8C2,华联商厦,蚌埠市,怀远县,32.872926,116.874052,B0GK27IS40
MALL_EFA39024,百货商场,阜阳市,颍东区,32.863641,116.166556,B0HKCZ6IQE
MALL_D987B164,阜阳商厦,阜阳市,颍州区,32.862536,115.864399,B0GKR5CA3R
MALL_C9BB4DF5,马鞍山金鹰购物中心,马鞍山市,花山区,31.685325,118.508817,B0FFGCI7XO
MALL_32F4D0D0,恒汇超市购物中心,临沂市,兰陵县,34.997548,117.825413,B0JBT1DAKH
MALL_0744BE4F,自营购物中心,临沂市,兰陵县,34.988429,118.110996,B0JB1477WQ
MALL_1984F87E,好又多购物中心,临沂市,郯城县,34.734198,118.311566,B0GUK6BLUZ
MALL_4407452B,汇林购物中心,德州市,夏津县,36.956436,116.036236,B0I3F90ZUW
MALL_EA50E44B,逸锦生活购物中心,德州市,宁津县,37.650971,116.904445,B0GUYX4S7H
MALL_80DE2C0B,中商昆仑购物广场,德州市,庆云县,37.767812,117.39388,B0FFLNARA8
MALL_7173EA61,庆云供销商厦,德州市,庆云县,37.776437,117.392543,B021601RTG
MALL_E3603562,任集购物中心,德州市,陵城区,37.419098,116.780438,B0FFMEN6W1
MALL_A17EE767,东方商城,日照市,莒县,35.663325,118.839625,B0L21DSWUF
MALL_3A64C529,贵诚购物中心(汉诺中路),枣庄市,山亭区,35.095883,117.456106,B0FFF05GXN
MALL_C4261EC5,四合商城,泰安市,东平县,35.958394,116.294268,B0FFKXWDEN
MALL_9C9ADDF6,董白塔购物中心,泰安市,岱岳区,35.981671,117.203105,B0FFL1CBK4
MALL_2AC15FA0,尚海城,泰安市,肥城市,36.184503,116.773766,B0FFFOHKZV
MALL_3704A5B9,华联商厦(西馆),济南市,槐荫区,36.660452,116.974312,B021306RWT
MALL_DD84938B,冠世桃花源景区旅游购物中心,济南市,钢城区,36.060881,117.918276,B0IR0ZTQBX
MALL_6A9B09EA,天波商城,济宁市,嘉祥县,35.469397,116.202015,B0G2X9PQQR
MALL_FE8B3AE8,新世纪超市,济宁市,嘉祥县,35.284325,116.356284,B0G3KUNHX4
MALL_0413DD48,润嘉购物广场,济宁市,嘉祥县,35.350651,116.380449,B0IUCCZPSJ
MALL_AAAC42E9,耀杰购物中心,济宁市,微山县,34.9292,117.097489,B0I19DUCMG
MALL_FD73D6EF,曲阜市供销社商场,济宁市,曲阜市,35.730989,117.014261,B0I3FRVE14
MALL_DD74BC19,大福源购物中心,济宁市,梁山县,35.899672,116.037782,B0G21H925R
MALL_D1C15205,苏桥购物中心,济宁市,汶上县,35.552702,116.497785,B0FFL7I58Z
MALL_5343F82A,银座商城,济宁市,汶上县,35.704812,116.503106,B0FFIFK9AX
MALL_CC29D295,龙尚峰购物广场,济宁市,邹城市,35.386864,116.823621,B0G0POHV4I
MALL_622ED442,世纪东方购物中心,淄博市,沂源县,36.185787,118.162663,B0FFHWQJ8O
MALL_3EB08BDA,全福元寿光百货大楼,潍坊市,寿光市,37.026347,118.573113,B0I3FLUK0H
MALL_3CCAEA5B,新基业综合商场,潍坊市,寿光市,36.885755,118.955186,B0FFG2P9NF
MALL_9F35A8B6,全福元,潍坊市,昌邑市,36.854582,119.398902,B02180JAPB
MALL_D22A8B25,王府购物广场,潍坊市,青州市,36.693011,118.482302,B0FFHVSDPJ
MALL_367BFB13,德胜商城,烟台市,福山区,37.56194,121.268592,B021704TNQ
MALL_531F8485,搜酷城地下商场,烟台市,莱山区,37.479513,121.452932,B0FFFE3L4A
MALL_70347253,华府广场,烟台市,龙口市,37.619476,120.322034,B0FFKH077A
MALL_3964A3B8,临清市潘庄镇鑫尚商贸行,聊城市,临清市,36.688837,115.53295,B0K2S506HN
MALL_457CE876,裕鲁商城,聊城市,莘县,35.813259,115.345615,B0FFG9C0GZ
MALL_DCC05274,雨福轩购物中心,聊城市,莘县,35.857699,115.352545,B0I3F7PN2K
MALL_D9FE6741,新美惠时尚广场,聊城市,阳谷县,36.290799,115.913684,B0I3TM80XO
MALL_46F573E1,文帅购物中心,菏泽市,定陶区,35.060482,115.775525,B0H1UO1NI6
MALL_1E50664A,家家乐超市,菏泽市,巨野县,35.1718,115.822148,B0FFLHOI0X
MALL_A2020FB4,顺帆购物中心,菏泽市,巨野县,35.438303,116.05086,B0HG0GVF1U
MALL_F9DC8AA2,郓城县清泉购物中心,菏泽市,郓城县,35.498339,116.033659,B0FFMHJQHL
MALL_917EF6CF,郓城县金鼎商城,菏泽市,郓城县,35.549428,115.91625,B0I3F7T1IZ
MALL_CBECD72D,惠多购物中心,菏泽市,鄄城县,35.626646,115.644684,B0FFHBM73V
MALL_68515DEB,青岛海龙源商场,青岛市,崂山区,36.26503,120.646893,B0LGVGSFIU
MALL_5126EF31,丽达集团,青岛市,胶州市,36.285748,120.007711,B0FFGSNBAU
MALL_197C8DFB,圣慧商厦,青岛市,胶州市,36.368031,120.146795,B0FFHM4GSH
MALL_B635AECD,利群集团莱西购物广场,青岛市,莱西市,36.878594,120.520188,B021407D01
MALL_56BF73D2,华联商城,青岛市,黄岛区,35.876941,119.997505,B021407632
MALL_85D74723,金钻国际商城,临汾市,侯马市,35.609493,111.362358,B0FFGZ7SAO
MALL_1578E8C7,锦都商业广场,临汾市,侯马市,35.621403,111.388135,B0IR1CR01X
MALL_270C0E03,福万佳购物商城,临汾市,襄汾县,36.021193,111.40309,B0FFMBW632
MALL_3AEA4D7A,百盛购物中心,大同市,平城区,40.072595,113.301401,B01600MJZR
MALL_31C4EC10,新康隆商城,太原市,小店区,37.830058,112.552079,B015F0IVNE
MALL_6C8D164D,长风·国贸第六馆,太原市,晋源区,37.808729,112.536297,B015F18Q6O
MALL_886FEE0A,老鼠街尚品购物中心,太原市,迎泽区,37.868674,112.569098,B015F03HVP
MALL_1240CE2F,华圣商城,忻州市,岢岚县,38.704216,111.574745,B015E003C7
MALL_3337C2DE,九洲购物圆,晋中市,介休市,37.025022,111.916587,B0FFG7HVF8
MALL_433253A6,华联购物中心,晋城市,沁水县,35.563845,111.9944,B0I2XU1GC8
MALL_5FCA3E75,火金商贸,晋城市,沁水县,35.577268,112.525662,B0FFG2S8EV
MALL_190D80A5,阳城县景豪商业广场,晋城市,阳城县,35.504679,112.398232,B0JBF120S3
MALL_15725F9D,温华购物中心,运城市,万荣县,35.309789,110.913718,B0JDMS0XPZ
MALL_A0B1CDDB,武乡水星家纺(迎宾街),长治市,武乡县,36.836561,112.865181,B0FFF4A0ER
MALL_702BB771,东莞松山湖万象汇,东莞市,东城街道,22.956931,113.896049,B0GUMR8DQ9
MALL_B7A84B7A,富弘广场,佛山市,南海区,23.059914,113.045197,B02F50ZYVX
MALL_08B75B25,GOGO新天地,广州市,番禺区,23.062248,113.391918,B00141J32J
MALL_9D6DBF14,梅花购物广场,惠州市,博罗县,23.200309,114.258661,B0KGZAX9AV
MALL_2E8C3B52,上斗八商场,梅州市,兴宁市,23.994667,115.855245,B0FFIT8WVN
MALL_19DCB16A,柏丽广场,梅州市,梅县区,24.296692,116.108571,B02F102KNU
MALL_57590C6E,客都汇商业文化广场,梅州市,梅江区,24.298904,116.132795,B0FFFEZ6JO
MALL_76DCB6FD,金达利购物广场,汕头市,潮阳区,23.478975,116.396825,B0LDBGYV2Y
MALL_A80C0A8F,新世纪超市,汕头市,金平区,23.429541,116.677368,B0HBBK150K
MALL_2E3F3FA8,大花园商业中心,汕头市,龙湖区,23.409005,116.738852,B0H2H1KTIU
MALL_C6774E74,钟源商场,江门市,开平市,22.4106,112.724043,B02EE0OX0G
MALL_39E27D9B,中达财富广场,江门市,江海区,22.561875,113.162825,B0LG9CTFLR
MALL_EB62C0B1,地王又一城,江门市,蓬江区,22.578128,113.082994,B0FFF9DZ78
MALL_3AF53DD5,新顺平购物广场,江门市,鹤山市,22.582134,112.885821,B02EE01JGP
MALL_5F861903,方圆·纷方生活广场,江门市,鹤山市,22.763539,113.008275,B0GRBZGDNS
MALL_8D1E542E,深圳龙湾客家文化商业广场,深圳市,坪山区,22.755361,114.369989,B0K67CB80D
MALL_7F84B778,石厦时代广场,深圳市,福田区,22.521022,114.053092,B0FFHWTKR3
MALL_7F4E442F,全丰·中央广场,湛江市,遂溪县,21.376804,110.263157,B0FFF9TTO0
MALL_8059BAEF,悦丰商行仓库,潮州市,潮安区,23.516881,116.628397,B0LAVK0UX0
MALL_DC10F3E8,购物广场,潮州市,潮安区,23.521104,116.651962,B0I2XR4TQ2
MALL_3CC12AF1,金桦商业城,潮州市,潮安区,23.527134,116.627959,B0G3JO8YEW
MALL_99E58B2E,大楼百货,潮州市,饶平县,23.670271,116.916293,B0FFH8TECP
MALL_5A9C7C9D,金顺广场,肇庆市,四会市,23.253282,112.740534,B0FFIRRXHX
MALL_F5543ACC,华天商业城,肇庆市,高要区,23.119691,112.781751,B02F60P9VU
MALL_88225D4B,福田广场,茂名市,高州市,21.760618,111.0229,B0LAV18KWN
MALL_0E10E680,广客隆(鹰峰中路),韶关市,乳源瑶族自治县,24.77631,113.277491,B02EF023KY
MALL_FD89B9A8,义乌商贸城(建设中),韶关市,浈江区,24.830696,113.565243,B0KU3HEU5K
MALL_AF043350,庆泰商业广场,南宁市,江南区,22.808848,108.248113,B0FFIH8356
MALL_C0879D81,朝能购物中心,来宾市,兴宾区,23.412809,109.149347,B0HBFC0JOF
MALL_794A51D8,维林新时代商业城,来宾市,兴宾区,23.735252,109.227649,B0FFJZJHJB
MALL_B2E0CB60,智慧商业广场,柳州市,柳北区,24.406511,109.386958,B0ID2SGPI5
MALL_BC39BBD1,新世纪超市,河池市,环江毛南族自治县,25.267961,108.489274,B0FFLFNAGV
MALL_4F296449,好优多购物中心,河池市,都安瑶族自治县,24.1099,108.428032,B0I0N1JGWC
MALL_41347B19,巴谭新区,河池市,都安瑶族自治县,23.952625,108.096114,B0LA7UVRAG
MALL_C9FAFDE4,白土供销社综合商场,河池市,金城江区,24.581202,108.130176,B0I21UPECC
MALL_E49BAEDF,金邦商城,玉林市,容县,22.701809,110.654449,B0IDT77XVI
MALL_791B3F24,东洲商业广场,百色市,右江区,23.87773,106.623678,B0KU97I131
MALL_1EB348B7,太平洋大卖场,百色市,平果市,23.315535,107.583958,B0K02ATV4K
MALL_DE6E179D,新世纪超市,百色市,田林县,24.214452,105.675742,B0J67HRGNI
MALL_8B196F4B,心连心购物中心,百色市,隆林各族自治县,24.663869,104.897904,B0FFLM111B
MALL_85B7ECB9,天润城,百色市,靖西市,23.145385,106.424107,B0LAUU7AVC
MALL_0F52D112,天天购物中心,贺州市,昭平县,24.143736,111.266453,B0J6AOB5CW
MALL_21A71111,大世界购物广场(解放西路),伊犁哈萨克自治州,伊宁市,43.92553,81.310257,B03E7005C5
MALL_6D8CEFF5,新疆友好集团伊犁天百国际购物中心,伊犁哈萨克自治州,伊宁市,43.917154,81.325692,B03E70M74W
MALL_B6B9351B,奥特莱斯,伊犁哈萨克自治州,霍尔果斯市,44.227139,80.407142,B0L3H7B00W
MALL_F1984B93,汇嘉时代哈密时尚商城,哈密市,伊州区,42.825336,93.516259,B0KDSZTWUB
MALL_61512904,新世纪广场,阿克苏地区,库车市,41.519853,83.160802,B0IDF6KY6F
MALL_2780D56F,青河县商贸城,阿勒泰地区,青河县,46.674416,90.384797,B0FFJ089L2
MALL_72D7C438,广隆商场,南通市,如东县,32.312734,121.190417,B020102015
MALL_FF6C9613,紫金生活广场,徐州市,云龙区,34.22408,117.303388,B0K0GM39BM
MALL_BFC85431,夏庄商场,徐州市,贾汪区,34.310053,117.37994,B0204050AB
MALL_10668E4D,天御青春假日,无锡市,惠山区,31.581532,120.186095,B0FFFDVPF4
MALL_8F3A85D7,绿禾商城,淮安市,洪泽区,33.291589,118.851285,B020506AS7
MALL_E20EF144,杨口商贸城,淮安市,涟水县,34.044383,119.15282,B0I3TUBWD3
MALL_592A28E4,妮娜百货购中心,盐城市,响水县,34.205378,119.67377,B0FFG13YX8
MALL_1E9591AB,吴江财智商业中心,苏州市,吴江区,31.145041,120.645047,B0FFGYZUI7
MALL_8B4024B3,第一人民商场,苏州市,张家港市,31.86216,120.544646,B020001RXL
MALL_69E62763,邻悦生活广场,苏州市,张家港市,31.797963,120.589329,B0JKXMPR6I
MALL_30DB4109,东沭千喜商贸城,连云港市,东海县,34.372364,118.83622,B0FFGDX2DS
MALL_3D335D8E,千亿购物中心,连云港市,东海县,34.603625,118.808899,B0FFLCF0RS
MALL_C0E9646D,新时代购物中心,连云港市,东海县,34.368235,118.694398,B0G3JR7PBN
MALL_FD7E80BE,购物广场,镇江市,丹徒区,31.919359,119.363304,B0JD4SRVB7
MALL_E11456BB,红豆购物广场,镇江市,京口区,32.21932,119.481286,B01FF02API
MALL_5E482AC6,壹景广场(装修中),上饶市,鄱阳县,29.374251,116.649441,B0FFMD1D1W
MALL_56F2F0DF,共青城学府广场,九江市,共青城市,29.168417,115.81716,B0FFITGOO3
MALL_39AF0F62,康怡·休闲购物广场,南昌市,南昌县,28.544411,115.943857,B031701LUD
MALL_E43A7229,车站时代广场,南昌市,安义县,28.838285,115.552714,B0H6TN3KTI
MALL_2261AF85,温圳·明星商业城,南昌市,进贤县,28.346825,116.093625,B0G3C65U0Q
MALL_98F6AC74,新干县荷浦商贸中心,吉安市,新干县,27.831132,115.396805,B0FFKW23JB
MALL_ADBC5C49,华影时代广场,吉安市,遂川县,26.308769,114.523141,B0FFGZ7GVM
