id,mall_code,name,original_name,province_code,city_code,district_code,province_name,city_name,district_name,address,lat,lng,business_area,amap_poi_id,mall_category,mall_level,developer,is_outlet,is_airport_mall,source,store_count,brand_count,brand_score_luxury,brand_score_light_luxury,brand_score_outdoor,brand_score_ev,brand_score_total,data_quality_score,created_at,updated_at,name_norm,admin_match_method,mall_category_method,mall_level_method,location_wkt,amap_business_area_name,amap_business_area_id,amap_business_area_adcode,business_area_id_amap,business_area_name_amap
3837,MALL_3E7DD762,HOPSON ONE,HOPSON ONE(珠江·新城国际A区店),510000,510100,510115,四川省,成都市,温江区,天宝东街珠江·新城国际,30.686357,103.864527,公平,B0H2MZ2DPE,shopping_mall,D,,False,False,amap,0,0,0,0,0,0,0,60,2025-12-06 03:18:06,2025-12-06 03:18:06,hopsonone,district_code,typecode_0601,brand_store_rule,POINT(103.864527 30.686357),凤溪大道,510115,510115,1,凤溪大道商圈
3838,MALL_EF60F3B2,乐活广场,乐活广场,510000,510100,510115,四川省,成都市,温江区,永宁镇置信学府杏林,30.711076,103.905495,电子科大科创谷园区,B0FFGB5VBJ,shopping_mall,D,,False,False,amap,0,0,0,0,0,0,0,60,2025-12-06 03:18:06,2025-12-06 03:18:06,乐活,district_code,keyword_shopping,brand_store_rule,POINT(103.905495 30.711076),电子科大科创谷园区,510115,510115,1,凤溪大道商圈
3839,MALL_2C81B11B,合生汇伊藤洋华堂,合生汇伊藤洋华堂,510000,510100,510115,四川省,成都市,温江区,光华大道三段1588号珠江广场(光华大道三段)B1层,30.685622,103.864011,公平,B0FFHJDDU0,shopping_mall,D,合生创展,False,False,amap,0,0,0,0,0,0,0,70,2025-12-06 03:18:06,2025-12-06 03:18:06,合生汇伊藤洋华堂,district_code,typecode_0601,brand_store_rule,POINT(103.864011 30.685622),凤溪大道,510115,510115,1,凤溪大道商圈
3840,MALL_A6ABC80A,商会大厦商业中心,商会大厦商业中心,510000,510100,510115,四川省,成都市,温江区,南熏大道三段139号(杨柳河地铁站D口步行190米),30.680842,103.829209,凤溪大道,B0FFF2L5EW,shopping_mall,D,,False,False,amap,0,0,0,0,0,0,0,55,2025-12-06 03:18:06,2025-12-06 03:18:06,商会大厦,district_code,keyword_shopping,brand_store_rule,POINT(103.829209 30.680842),凤溪大道,510115,510115,1,凤溪大道商圈
3841,MALL_A6F6AFC8,商会大厦商业中心1,商会大厦商业中心1(温江商会大厦店),510000,510100,510115,四川省,成都市,温江区,海科路东段88号温江商会大厦F1层,30.680332,103.829117,凤溪大道,B0IAKSDX1X,shopping_mall,D,,False,False,amap,0,0,0,0,0,0,0,60,2025-12-06 03:18:06,2025-12-06 03:18:06,商会大厦商业中心1,district_code,keyword_shopping,brand_store_rule,POINT(103.829117 30.680332),凤溪大道,510115,510115,1,凤溪大道商圈
3842,MALL_85725911,国色天乡乐园商业街购物中心,国色天乡乐园商业街购物中心,510000,510100,510115,四川省,成都市,温江区,江宁南路447号,30.719357,103.826749,万春,B0FFFP3P2B,shopping_mall,D,,False,False,amap,0,0,0,0,0,0,0,55,2025-12-06 03:18:06,2025-12-06 03:18:06,国色天乡乐园商业街,district_code,keyword_shopping,brand_store_rule,POINT(103.826749 30.719357),万春,510115,510115,1,凤溪大道商圈
3843,MALL_66B0AD33,国色天乡奥特莱斯,国色天乡奥特莱斯(江宁南路店),510000,510100,510115,四川省,成都市,温江区,江宁南路与天乡路二段交叉口西北420米,30.722147,103.825691,万春,B0FFKL5Z7D,outlet,D,,True,False,amap,0,0,0,0,0,0,0,60,2025-12-06 03:18:06,2025-12-06 03:18:06,国色天乡,district_code,keyword_outlet,brand_store_rule,POINT(103.825691 30.722147),万春,510115,510115,1,凤溪大道商圈
3844,MALL_4A127393,天乡购物中心,天乡购物中心,510000,510100,510115,四川省,成都市,温江区,天乡后街与天乡路一段交叉口东南120米,30.724581,103.840467,万春,B001C8O3ZT,shopping_mall,D,,False,False,amap,0,0,0,0,0,0,0,60,2025-12-06 03:18:06,2025-12-06 03:18:06,天乡,district_code,keyword_shopping,brand_store_rule,POINT(103.840467 30.724581),万春,510115,510115,1,凤溪大道商圈
3845,MALL_0D9D1663,奴尚百货,奴尚百货,510000,510100,510115,四川省,成都市,温江区,柳城街道内北街34号,30.699435,103.836427,柳城,B001C921Q2,department_store,D,,False,False,amap,0,0,0,0,0,0,0,60,2025-12-06 03:18:06,2025-12-06 03:18:06,奴尚,district_code,keyword_department,brand_store_rule,POINT(103.836427 30.699435),柳城,510115,510115,1,凤溪大道商圈
3846,MALL_A9CDE3A7,成都合生汇,成都合生汇,510000,510100,510115,四川省,成都市,温江区,光华大道3段1588号(光华公园地铁站出入口旁),30.685451,103.863341,公平,B0G2HHPMPI,shopping_mall,D,合生创展,False,False,amap,1,1,0,0,0,0,1,90,2025-12-06 03:18:06,2025-12-06 03:18:06,成都合生汇,district_code,typecode_0601,brand_store_rule,POINT(103.863341 30.685451),凤溪大道,510115,510115,1,凤溪大道商圈
3847,MALL_8E63445A,成都温江旭辉Cmall,成都温江旭辉Cmall,510000,510100,510115,四川省,成都市,温江区,学府路南段8号(万盛地铁站A出口),30.673378,103.818309,,B0I04ZJ0JI,shopping_mall,D,,False,False,amap,1,1,0,0,0,0,1,75,2025-12-06 03:18:06,2025-12-06 03:18:06,成都温江旭辉c,district_code,keyword_shopping,brand_store_rule,POINT(103.818309 30.673378),,,,,
3848,MALL_0EAE86BE,新光天地,新光天地,510000,510100,510115,四川省,成都市,温江区,光华大道三段1599号,30.683016,103.859651,凤溪大道,B0FFF09XEV,lifestyle_center,D,瑞安房地产,False,False,amap,0,0,0,0,0,0,0,70,2025-12-06 03:18:06,2025-12-06 03:18:06,新光,district_code,keyword_lifestyle,brand_store_rule,POINT(103.859651 30.683016),凤溪大道,510115,510115,1,凤溪大道商圈
3849,MALL_DD5195C5,温江·奥特莱斯,温江·奥特莱斯,510000,510100,510115,四川省,成都市,温江区,海峡两岸科技园新华大道199号,30.649698,103.812694,,B0FFHMGE3M,outlet,D,,True,False,amap,0,0,0,0,0,0,0,60,2025-12-06 03:18:06,2025-12-06 03:18:06,温江,district_code,keyword_outlet,brand_store_rule,POINT(103.812694 30.649698),,,,,
3850,MALL_0A736D20,繁华时代,繁华时代,510000,510100,510115,四川省,成都市,温江区,柳城街道文化路,30.69869,103.844164,公平,B001C7XOKT,shopping_mall,D,,False,False,amap,1,1,0,0,0,0,1,75,2025-12-06 03:18:06,2025-12-06 03:18:06,繁华时代,district_code,typecode_0601,brand_store_rule,POINT(103.844164 30.69869),柳城,510115,510115,1,凤溪大道商圈
3851,MALL_788C6B31,花沐里Q佳广场,花沐里Q佳广场,510000,510100,510115,四川省,成都市,温江区,凤凰北大街669号,30.687204,103.890151,涌泉,B0GKULLWAJ,lifestyle_center,D,,False,False,amap,0,0,0,0,0,0,0,60,2025-12-06 03:18:06,2025-12-06 03:18:06,花沐里q佳,district_code,keyword_lifestyle,brand_store_rule,POINT(103.890151 30.687204),涌泉,510115,510115,1,凤溪大道商圈
3852,MALL_23F16830,茂业百货,茂业百货(繁华时代店),510000,510100,510115,四川省,成都市,温江区,文化路1号繁华时代广场,30.698782,103.844227,公平,B0FFJNBDY3,department_store,D,茂业商业,False,False,amap,0,0,0,0,0,0,0,70,2025-12-06 03:18:06,2025-12-06 03:18:06,茂业,district_code,keyword_department,brand_store_rule,POINT(103.844227 30.698782),柳城,510115,510115,1,凤溪大道商圈
3853,MALL_82F90BFC,银河商场,银河商场,510000,510100,510115,四川省,成都市,温江区,寿安镇兴隆街84号,30.812412,103.752596,,B0FFF2MVA2,shopping_mall,D,,False,False,amap,0,0,0,0,0,0,0,60,2025-12-06 03:18:06,2025-12-06 03:18:06,银河商场,district_code,typecode_0601,brand_store_rule,POINT(103.752596 30.812412),,,,,
