country,province_name,city_name,district_name,adcode
中华人民共和国,云南省,临沧市,临翔区,530902
中华人民共和国,云南省,临沧市,云县,530922
中华人民共和国,云南省,临沧市,凤庆县,530921
中华人民共和国,云南省,临沧市,双江拉祜族佤族布朗族傣族自治县,530925
中华人民共和国,云南省,临沧市,永德县,530923
中华人民共和国,云南省,临沧市,沧源佤族自治县,530927
中华人民共和国,云南省,临沧市,耿马傣族佤族自治县,530926
中华人民共和国,云南省,临沧市,镇康县,530924
中华人民共和国,云南省,丽江市,华坪县,530723
中华人民共和国,云南省,丽江市,古城区,530702
中华人民共和国,云南省,丽江市,宁蒗彝族自治县,530724
中华人民共和国,云南省,丽江市,永胜县,530722
中华人民共和国,云南省,丽江市,玉龙纳西族自治县,530721
中华人民共和国,云南省,保山市,施甸县,530521
中华人民共和国,云南省,保山市,昌宁县,530524
中华人民共和国,云南省,保山市,腾冲市,530581
中华人民共和国,云南省,保山市,隆阳区,530502
中华人民共和国,云南省,保山市,龙陵县,530523
中华人民共和国,云南省,大理白族自治州,云龙县,532929
中华人民共和国,云南省,大理白族自治州,剑川县,532931
中华人民共和国,云南省,大理白族自治州,南涧彝族自治县,532926
中华人民共和国,云南省,大理白族自治州,大理市,532901
中华人民共和国,云南省,大理白族自治州,宾川县,532924
中华人民共和国,云南省,大理白族自治州,巍山彝族回族自治县,532927
中华人民共和国,云南省,大理白族自治州,弥渡县,532925
中华人民共和国,云南省,大理白族自治州,永平县,532928
中华人民共和国,云南省,大理白族自治州,洱源县,532930
中华人民共和国,云南省,大理白族自治州,漾濞彝族自治县,532922
中华人民共和国,云南省,大理白族自治州,祥云县,532923
中华人民共和国,云南省,大理白族自治州,鹤庆县,532932
中华人民共和国,云南省,德宏傣族景颇族自治州,梁河县,533122
中华人民共和国,云南省,德宏傣族景颇族自治州,瑞丽市,533102
中华人民共和国,云南省,德宏傣族景颇族自治州,盈江县,533123
中华人民共和国,云南省,德宏傣族景颇族自治州,芒市,533103
中华人民共和国,云南省,德宏傣族景颇族自治州,陇川县,533124
中华人民共和国,云南省,怒江傈僳族自治州,兰坪白族普米族自治县,533325
中华人民共和国,云南省,怒江傈僳族自治州,泸水市,533301
中华人民共和国,云南省,怒江傈僳族自治州,福贡县,533323
中华人民共和国,云南省,怒江傈僳族自治州,贡山独龙族怒族自治县,533324
中华人民共和国,云南省,文山壮族苗族自治州,丘北县,532626
中华人民共和国,云南省,文山壮族苗族自治州,富宁县,532628
中华人民共和国,云南省,文山壮族苗族自治州,广南县,532627
中华人民共和国,云南省,文山壮族苗族自治州,文山市,532601
中华人民共和国,云南省,文山壮族苗族自治州,砚山县,532622
中华人民共和国,云南省,文山壮族苗族自治州,西畴县,532623
中华人民共和国,云南省,文山壮族苗族自治州,马关县,532625
中华人民共和国,云南省,文山壮族苗族自治州,麻栗坡县,532624
中华人民共和国,云南省,昆明市,东川区,530113
中华人民共和国,云南省,昆明市,五华区,530102
中华人民共和国,云南省,昆明市,呈贡区,530114
中华人民共和国,云南省,昆明市,安宁市,530181
中华人民共和国,云南省,昆明市,官渡区,530111
中华人民共和国,云南省,昆明市,宜良县,530125
中华人民共和国,云南省,昆明市,富民县,530124
中华人民共和国,云南省,昆明市,寻甸回族彝族自治县,530129
中华人民共和国,云南省,昆明市,嵩明县,530127
中华人民共和国,云南省,昆明市,晋宁区,530115
中华人民共和国,云南省,昆明市,盘龙区,530103
中华人民共和国,云南省,昆明市,石林彝族自治县,530126
中华人民共和国,云南省,昆明市,禄劝彝族苗族自治县,530128
中华人民共和国,云南省,昆明市,西山区,530112
中华人民共和国,云南省,昭通市,大关县,530624
中华人民共和国,云南省,昭通市,威信县,530629
中华人民共和国,云南省,昭通市,巧家县,530622
中华人民共和国,云南省,昭通市,彝良县,530628
中华人民共和国,云南省,昭通市,昭阳区,530602
中华人民共和国,云南省,昭通市,水富市,530681
中华人民共和国,云南省,昭通市,永善县,530625
中华人民共和国,云南省,昭通市,盐津县,530623
中华人民共和国,云南省,昭通市,绥江县,530626
中华人民共和国,云南省,昭通市,镇雄县,530627
中华人民共和国,云南省,昭通市,鲁甸县,530621
中华人民共和国,云南省,普洱市,墨江哈尼族自治县,530822
中华人民共和国,云南省,普洱市,孟连傣族拉祜族佤族自治县,530827
中华人民共和国,云南省,普洱市,宁洱哈尼族彝族自治县,530821
中华人民共和国,云南省,普洱市,思茅区,530802
中华人民共和国,云南省,普洱市,景东彝族自治县,530823
中华人民共和国,云南省,普洱市,景谷傣族彝族自治县,530824
中华人民共和国,云南省,普洱市,江城哈尼族彝族自治县,530826
中华人民共和国,云南省,普洱市,澜沧拉祜族自治县,530828
中华人民共和国,云南省,普洱市,西盟佤族自治县,530829
中华人民共和国,云南省,普洱市,镇沅彝族哈尼族拉祜族自治县,530825
中华人民共和国,云南省,曲靖市,会泽县,530326
中华人民共和国,云南省,曲靖市,宣威市,530381
中华人民共和国,云南省,曲靖市,富源县,530325
中华人民共和国,云南省,曲靖市,师宗县,530323
中华人民共和国,云南省,曲靖市,沾益区,530303
中华人民共和国,云南省,曲靖市,罗平县,530324
中华人民共和国,云南省,曲靖市,陆良县,530322
中华人民共和国,云南省,曲靖市,马龙区,530304
中华人民共和国,云南省,曲靖市,麒麟区,530302
中华人民共和国,云南省,楚雄彝族自治州,元谋县,532328
中华人民共和国,云南省,楚雄彝族自治州,南华县,532324
中华人民共和国,云南省,楚雄彝族自治州,双柏县,532322
中华人民共和国,云南省,楚雄彝族自治州,大姚县,532326
中华人民共和国,云南省,楚雄彝族自治州,姚安县,532325
中华人民共和国,云南省,楚雄彝族自治州,楚雄市,532301
中华人民共和国,云南省,楚雄彝族自治州,武定县,532329
中华人民共和国,云南省,楚雄彝族自治州,永仁县,532327
中华人民共和国,云南省,楚雄彝族自治州,牟定县,532323
中华人民共和国,云南省,楚雄彝族自治州,禄丰市,532302
中华人民共和国,云南省,玉溪市,元江哈尼族彝族傣族自治县,530428
中华人民共和国,云南省,玉溪市,华宁县,530424
中华人民共和国,云南省,玉溪市,峨山彝族自治县,530426
中华人民共和国,云南省,玉溪市,新平彝族傣族自治县,530427
中华人民共和国,云南省,玉溪市,易门县,530425
中华人民共和国,云南省,玉溪市,江川区,530403
中华人民共和国,云南省,玉溪市,澄江市,530481
中华人民共和国,云南省,玉溪市,红塔区,530402
中华人民共和国,云南省,玉溪市,通海县,530423
中华人民共和国,云南省,红河哈尼族彝族自治州,个旧市,532501
中华人民共和国,云南省,红河哈尼族彝族自治州,元阳县,532528
中华人民共和国,云南省,红河哈尼族彝族自治州,屏边苗族自治县,532523
中华人民共和国,云南省,红河哈尼族彝族自治州,建水县,532524
中华人民共和国,云南省,红河哈尼族彝族自治州,开远市,532502
中华人民共和国,云南省,红河哈尼族彝族自治州,弥勒市,532504
中华人民共和国,云南省,红河哈尼族彝族自治州,河口瑶族自治县,532532
中华人民共和国,云南省,红河哈尼族彝族自治州,泸西县,532527
中华人民共和国,云南省,红河哈尼族彝族自治州,石屏县,532525
中华人民共和国,云南省,红河哈尼族彝族自治州,红河县,532529
中华人民共和国,云南省,红河哈尼族彝族自治州,绿春县,532531
中华人民共和国,云南省,红河哈尼族彝族自治州,蒙自市,532503
中华人民共和国,云南省,红河哈尼族彝族自治州,金平苗族瑶族傣族自治县,532530
中华人民共和国,云南省,西双版纳傣族自治州,勐海县,532822
中华人民共和国,云南省,西双版纳傣族自治州,勐腊县,532823
中华人民共和国,云南省,西双版纳傣族自治州,景洪市,532801
中华人民共和国,云南省,迪庆藏族自治州,德钦县,533422
中华人民共和国,云南省,迪庆藏族自治州,维西傈僳族自治县,533423
中华人民共和国,云南省,迪庆藏族自治州,香格里拉市,533401
中华人民共和国,北京市,北京城区,丰台区,110106
中华人民共和国,北京市,北京城区,延庆区,110119
中华人民共和国,北京市,北京城区,朝阳区,110105
中华人民共和国,北京市,北京城区,海淀区,110108
中华人民共和国,北京市,北京城区,石景山区,110107
中华人民共和国,吉林省,吉林市,丰满区,220211
中华人民共和国,吉林省,吉林市,永吉县,220221
中华人民共和国,吉林省,吉林市,磐石市,220284
中华人民共和国,吉林省,吉林市,船营区,220204
中华人民共和国,吉林省,吉林市,龙潭区,220203
中华人民共和国,吉林省,四平市,伊通满族自治县,220323
中华人民共和国,吉林省,四平市,双辽市,220382
中华人民共和国,吉林省,四平市,梨树县,220322
中华人民共和国,吉林省,四平市,铁东区,220303
中华人民共和国,吉林省,四平市,铁西区,220302
中华人民共和国,吉林省,延边朝鲜族自治州,和龙市,222406
中华人民共和国,吉林省,延边朝鲜族自治州,图们市,222402
中华人民共和国,吉林省,延边朝鲜族自治州,延吉市,222401
中华人民共和国,吉林省,延边朝鲜族自治州,敦化市,222403
中华人民共和国,吉林省,延边朝鲜族自治州,汪清县,222424
中华人民共和国,吉林省,延边朝鲜族自治州,珲春市,222404
中华人民共和国,吉林省,延边朝鲜族自治州,龙井市,222405
中华人民共和国,吉林省,松原市,乾安县,220723
中华人民共和国,吉林省,松原市,前郭尔罗斯蒙古族自治县,220721
中华人民共和国,吉林省,松原市,宁江区,220702
中华人民共和国,吉林省,松原市,长岭县,220722
中华人民共和国,吉林省,白城市,大安市,220882
中华人民共和国,吉林省,白城市,洮北区,220802
中华人民共和国,吉林省,白城市,洮南市,220881
中华人民共和国,吉林省,白城市,通榆县,220822
中华人民共和国,吉林省,白城市,镇赉县,220821
中华人民共和国,吉林省,白山市,临江市,220681
中华人民共和国,吉林省,白山市,抚松县,220621
中华人民共和国,吉林省,白山市,浑江区,220602
中华人民共和国,吉林省,白山市,长白朝鲜族自治县,220623
中华人民共和国,吉林省,白山市,靖宇县,220622
中华人民共和国,吉林省,辽源市,东丰县,220421
中华人民共和国,吉林省,辽源市,东辽县,220422
中华人民共和国,吉林省,辽源市,西安区,220403
中华人民共和国,吉林省,辽源市,龙山区,220402
中华人民共和国,吉林省,通化市,东昌区,220502
中华人民共和国,吉林省,通化市,二道江区,220503
中华人民共和国,吉林省,通化市,柳河县,220524
中华人民共和国,吉林省,通化市,梅河口市,220581
中华人民共和国,吉林省,通化市,辉南县,220523
中华人民共和国,吉林省,通化市,通化县,220521
中华人民共和国,吉林省,通化市,集安市,220582
中华人民共和国,吉林省,长春市,九台区,220113
中华人民共和国,吉林省,长春市,二道区,220105
中华人民共和国,吉林省,长春市,公主岭市,220184
中华人民共和国,吉林省,长春市,南关区,220102
中华人民共和国,吉林省,长春市,双阳区,220112
中华人民共和国,吉林省,长春市,宽城区,220103
中华人民共和国,吉林省,长春市,德惠市,220183
中华人民共和国,吉林省,长春市,朝阳区,220104
中华人民共和国,吉林省,长春市,绿园区,220106
中华人民共和国,江西省,上饶市,万年县,361129
中华人民共和国,江西省,上饶市,余干县,361127
中华人民共和国,江西省,上饶市,婺源县,361130
中华人民共和国,江西省,上饶市,广信区,361104
中华人民共和国,江西省,上饶市,弋阳县,361126
中华人民共和国,江西省,上饶市,德兴市,361181
中华人民共和国,江西省,上饶市,玉山县,361123
中华人民共和国,江西省,上饶市,鄱阳县,361128
中华人民共和国,江西省,上饶市,铅山县,361124
中华人民共和国,江西省,九江市,修水县,360424
中华人民共和国,江西省,九江市,庐山市,360483
中华人民共和国,江西省,九江市,彭泽县,360430
中华人民共和国,江西省,九江市,德安县,360426
中华人民共和国,江西省,九江市,武宁县,360423
中华人民共和国,江西省,九江市,永修县,360425
中华人民共和国,江西省,九江市,浔阳区,360403
中华人民共和国,江西省,九江市,湖口县,360429
中华人民共和国,江西省,九江市,濂溪区,360402
中华人民共和国,江西省,九江市,都昌县,360428
中华人民共和国,江西省,南昌市,东湖区,360102
中华人民共和国,江西省,南昌市,南昌县,360121
中华人民共和国,江西省,南昌市,安义县,360123
中华人民共和国,江西省,南昌市,新建区,360112
中华人民共和国,江西省,南昌市,红谷滩区,360113
中华人民共和国,江西省,南昌市,青云谱区,360104
中华人民共和国,江西省,吉安市,井冈山市,360881
中华人民共和国,江西省,吉安市,吉水县,360822
中华人民共和国,江西省,吉安市,峡江县,360823
中华人民共和国,江西省,吉安市,新干县,360824
中华人民共和国,江西省,吉安市,永新县,360830
中华人民共和国,江西省,吉安市,青原区,360803
中华人民共和国,江西省,宜春市,上高县,360923
中华人民共和国,江西省,宜春市,奉新县,360921
中华人民共和国,江西省,宜春市,铜鼓县,360926
中华人民共和国,江西省,宜春市,高安市,360983
中华人民共和国,江西省,抚州市,临川区,361002
中华人民共和国,江西省,抚州市,南丰县,361023
中华人民共和国,江西省,抚州市,南城县,361021
中华人民共和国,江西省,抚州市,宜黄县,361026
中华人民共和国,江西省,抚州市,资溪县,361028
中华人民共和国,江西省,抚州市,金溪县,361027
中华人民共和国,江西省,抚州市,黎川县,361022
中华人民共和国,江西省,景德镇市,乐平市,360281
中华人民共和国,江西省,景德镇市,浮梁县,360222
中华人民共和国,江西省,景德镇市,珠山区,360203
中华人民共和国,江西省,萍乡市,安源区,360302
中华人民共和国,江西省,萍乡市,湘东区,360313
中华人民共和国,江西省,萍乡市,芦溪县,360323
中华人民共和国,江西省,萍乡市,莲花县,360321
中华人民共和国,江西省,赣州市,上犹县,360724
中华人民共和国,江西省,赣州市,于都县,360731
中华人民共和国,江西省,赣州市,会昌县,360733
中华人民共和国,江西省,赣州市,信丰县,360722
中华人民共和国,江西省,赣州市,全南县,360729
中华人民共和国,江西省,赣州市,兴国县,360732
中华人民共和国,江西省,赣州市,安远县,360726
中华人民共和国,江西省,赣州市,定南县,360728
中华人民共和国,江西省,赣州市,寻乌县,360734
中华人民共和国,江西省,赣州市,瑞金市,360781
中华人民共和国,江西省,赣州市,石城县,360735
中华人民共和国,江西省,赣州市,章贡区,360702
中华人民共和国,江西省,赣州市,赣县区,360704
中华人民共和国,江西省,赣州市,龙南市,360783
中华人民共和国,江西省,鹰潭市,月湖区,360602
中华人民共和国,西藏自治区,山南市,乃东区,540502
中华人民共和国,西藏自治区,山南市,加查县,540528
中华人民共和国,西藏自治区,山南市,扎囊县,540521
中华人民共和国,西藏自治区,山南市,措美县,540526
中华人民共和国,西藏自治区,山南市,曲松县,540525
中华人民共和国,西藏自治区,山南市,桑日县,540523
中华人民共和国,西藏自治区,山南市,洛扎县,540527
中华人民共和国,西藏自治区,山南市,浪卡子县,540531
中华人民共和国,西藏自治区,山南市,琼结县,540524
中华人民共和国,西藏自治区,山南市,贡嘎县,540522
中华人民共和国,西藏自治区,山南市,错那市,540581
中华人民共和国,西藏自治区,山南市,隆子县,540529
中华人民共和国,西藏自治区,拉萨市,城关区,540102
中华人民共和国,西藏自治区,拉萨市,堆龙德庆区,540103
中华人民共和国,西藏自治区,拉萨市,墨竹工卡县,540127
中华人民共和国,西藏自治区,拉萨市,尼木县,540123
中华人民共和国,西藏自治区,拉萨市,当雄县,540122
中华人民共和国,西藏自治区,拉萨市,曲水县,540124
中华人民共和国,西藏自治区,拉萨市,林周县,540121
中华人民共和国,西藏自治区,拉萨市,达孜区,540104
中华人民共和国,西藏自治区,日喀则市,亚东县,540233
中华人民共和国,西藏自治区,日喀则市,仁布县,540229
中华人民共和国,西藏自治区,日喀则市,仲巴县,540232
中华人民共和国,西藏自治区,日喀则市,南木林县,540221
中华人民共和国,西藏自治区,日喀则市,吉隆县,540234
中华人民共和国,西藏自治区,日喀则市,定日县,540223
中华人民共和国,西藏自治区,日喀则市,定结县,540231
中华人民共和国,西藏自治区,日喀则市,岗巴县,540237
中华人民共和国,西藏自治区,日喀则市,拉孜县,540225
中华人民共和国,西藏自治区,日喀则市,昂仁县,540226
中华人民共和国,西藏自治区,日喀则市,桑珠孜区,540202
中华人民共和国,西藏自治区,日喀则市,江孜县,540222
中华人民共和国,西藏自治区,日喀则市,白朗县,540228
中华人民共和国,西藏自治区,日喀则市,聂拉木县,540235
中华人民共和国,西藏自治区,日喀则市,萨嘎县,540236
中华人民共和国,西藏自治区,日喀则市,萨迦县,540224
中华人民共和国,西藏自治区,日喀则市,谢通门县,540227
中华人民共和国,西藏自治区,昌都市,丁青县,540324
中华人民共和国,西藏自治区,昌都市,八宿县,540326
中华人民共和国,西藏自治区,昌都市,卡若区,540302
中华人民共和国,西藏自治区,昌都市,左贡县,540327
中华人民共和国,西藏自治区,昌都市,江达县,540321
中华人民共和国,西藏自治区,昌都市,类乌齐县,540323
中华人民共和国,西藏自治区,昌都市,芒康县,540328
中华人民共和国,西藏自治区,昌都市,贡觉县,540322
中华人民共和国,西藏自治区,昌都市,边坝县,540330
中华人民共和国,西藏自治区,林芝市,墨脱县,540423
中华人民共和国,西藏自治区,林芝市,察隅县,540425
中华人民共和国,西藏自治区,林芝市,工布江达县,540421
中华人民共和国,西藏自治区,林芝市,巴宜区,540402
中华人民共和国,西藏自治区,林芝市,朗县,540426
中华人民共和国,西藏自治区,林芝市,波密县,540424
中华人民共和国,西藏自治区,林芝市,米林市,540481
中华人民共和国,西藏自治区,那曲市,双湖县,540630
中华人民共和国,西藏自治区,那曲市,嘉黎县,540621
中华人民共和国,西藏自治区,那曲市,安多县,540624
中华人民共和国,西藏自治区,那曲市,尼玛县,540629
中华人民共和国,西藏自治区,那曲市,巴青县,540628
中华人民共和国,西藏自治区,那曲市,比如县,540622
中华人民共和国,西藏自治区,那曲市,班戈县,540627
中华人民共和国,西藏自治区,那曲市,申扎县,540625
中华人民共和国,西藏自治区,那曲市,索县,540626
中华人民共和国,西藏自治区,那曲市,聂荣县,540623
中华人民共和国,西藏自治区,那曲市,色尼区,540602
中华人民共和国,西藏自治区,阿里地区,噶尔县,542523
中华人民共和国,西藏自治区,阿里地区,措勤县,542527
中华人民共和国,西藏自治区,阿里地区,改则县,542526
中华人民共和国,西藏自治区,阿里地区,日土县,542524
中华人民共和国,西藏自治区,阿里地区,普兰县,542521
中华人民共和国,西藏自治区,阿里地区,札达县,542522
中华人民共和国,西藏自治区,阿里地区,革吉县,542525
中华人民共和国,陕西省,渭南市,潼关县,610522
